球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
nemanja_bjelica,内马尼亚 别利察,5,-,1.2,-,1.8,-,53.30%,-,0%,-,57.10%,-,0.5,-,0.5,-,209
damion_lee,达米恩 李,3,-,0,-,1,-,50.00%,-,0%,-,100%,-,0,-,0,-,176
juan_toscano-anderson,托斯卡诺 安德森,3,-,0.5,-,1,-,100%,-,100%,-,50.00%,-,0,-,0.5,-,170
chris_chiozza,克里斯 奇奥萨,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
kevon_looney,凯文 卢尼,2.4,-,1,-,4.2,-,55.60%,-,0%,-,50.00%,-,0,-,0.2,-,0
gary_payton,加里 佩顿二世,6.8,-,1.2,-,2.8,-,70.60%,-,75.00%,-,66.70%,-,0.8,-,1,-,0
quinndary_weatherspoon,奎因达里 韦瑟斯庞,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
chris_paul,克里斯 保罗,22.3,-,11.3,-,4.3,-,56.70%,-,30.80%,-,96.00%,-,0.17,-,1.83,-,3080
devin_booker,德文 布克,23,-,4,-,3.7,-,50.00%,-,48.00%,-,87.50%,-,0,-,0.33,-,2943
deandre_ayton,德安德烈 艾顿,20.5,-,2.5,-,9.8,-,70.00%,-,50.00%,-,75.00%,-,1.17,-,0.67,-,1002
jae_crowder,杰 克劳德,7.5,-,2.5,-,3.7,-,33.30%,-,11.50%,-,66.70%,-,0.67,-,1.33,-,926
dario_saric,达里奥 沙里奇,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,900
cameron_payne,卡梅伦 佩恩,5.7,-,1.2,-,1.2,-,31.00%,-,16.70%,-,83.30%,-,0.17,-,1.17,-,650
javale_mcgee,贾维尔 麦基,8.3,-,0.5,-,3.7,-,80.80%,-,0%,-,80.00%,-,0.17,-,0.17,-,500
torrey_craig,托里 克雷格,1.5,-,1,-,1.2,-,22.20%,-,25.00%,-,50.00%,-,0.25,-,0.75,-,488
mikal_bridges,米卡尔 布里奇斯,17.3,-,2.7,-,4.5,-,55.10%,-,53.30%,-,90.90%,-,1.5,-,0.83,-,436
cameron_johnson,卡梅伦 约翰逊,11,-,1.5,-,3.7,-,46.00%,-,35.70%,-,66.70%,-,0,-,0.5,-,423
elfrid_payton,埃尔弗里德 佩顿,2,-,1,-,0,-,100%,-,0%,-,0%,-,0,-,0,-,224
aaron_holiday,阿龙 霍勒迪,5,-,2,-,0.5,-,100%,-,100%,-,0%,-,0,-,0,-,224
landry_shamet,兰德里 沙梅特,4.6,-,1,-,1.4,-,39.10%,-,21.40%,-,66.70%,-,0,-,0.6,-,209
ish_wainright,伊什 韦恩莱特,0,-,0,-,1,-,0%,-,0%,-,0%,-,0,-,1,-,0
